country,year,records
BTN,2024,150441
BTN,2025,3055
BWA,1960,1179
BWA,1961,961
BWA,1962,1345
BWA,1963,801
BWA,1964,1044
BWA,1965,3541
BWA,1966,3402
BWA,1967,5661
BWA,1968,1038
BWA,1969,2453
BWA,1970,2964
BWA,1971,930
BWA,1972,2362
BWA,1973,2346
BWA,1974,2138
BWA,1975,4023
BWA,1976,3784
BWA,1977,3435
BWA,1978,6129
BWA,1979,1771
BWA,1980,2137
BWA,1981,2155
BWA,1982,1496
BWA,1983,4805
BWA,1984,3590
BWA,1985,2632
BWA,1986,4045
BWA,1987,5043
BWA,1988,7627
BWA,1989,6104
BWA,1990,6526
BWA,1991,5582
BWA,1992,3129
BWA,1993,5081
BWA,1994,3091
BWA,1995,2392
BWA,1996,4356
BWA,1997,3182
BWA,1998,4363
BWA,1999,2709
BWA,2000,9062
BWA,2001,4206
BWA,2002,4446
BWA,2003,3742
BWA,2004,9060
BWA,2005,19119
BWA,2006,11572
BWA,2007,30856
BWA,2008,19462
BWA,2009,28236
BWA,2010,14570
BWA,2011,15170
BWA,2012,27247
BWA,2013,27388
BWA,2014,38255
BWA,2015,43126
BWA,2016,62324
BWA,2017,76394
BWA,2018,79058
BWA,2019,113632
BWA,2020,36916
BWA,2021,69088
BWA,2022,126052
BWA,2023,159255
BWA,2024,176430
BWA,2025,57578
CAF,1960,248
CAF,1961,162
CAF,1962,522
CAF,1963,1852
CAF,1964,1013
CAF,1965,1751
CAF,1966,434
CAF,1967,744
CAF,1968,984
CAF,1969,864
CAF,1970,1632
CAF,1971,882
CAF,1972,186
CAF,1973,236
CAF,1974,159
CAF,1975,277
CAF,1976,779
CAF,1977,363
CAF,1978,317
CAF,1979,416
CAF,1980,1044
CAF,1981,2674
CAF,1982,1644
CAF,1983,1814
CAF,1984,1290
CAF,1985,2057
CAF,1986,239
CAF,1987,634
CAF,1988,4790
CAF,1989,2905
CAF,1990,690
CAF,1991,635
CAF,1992,1107
CAF,1993,2873
CAF,1994,4403
CAF,1995,2287
CAF,1996,1542
CAF,1997,541
CAF,1998,3152
CAF,1999,1666
CAF,2000,457
CAF,2001,7965
CAF,2002,260
CAF,2003,1110
CAF,2004,1346
CAF,2005,1068
CAF,2006,1734
CAF,2007,555
CAF,2008,630
CAF,2009,465
CAF,2010,343
CAF,2011,926
CAF,2012,3664
CAF,2013,570
CAF,2014,308
CAF,2015,1013
CAF,2016,4593
CAF,2017,4090
CAF,2018,2806
CAF,2019,4012
CAF,2020,3505
CAF,2021,6416
CAF,2022,2277
CAF,2023,2207
CAF,2024,2566
CAF,2025,1005
CAN,1960,125418
CAN,1961,163590
CAN,1962,153042
CAN,1963,180571
CAN,1964,181321
CAN,1965,147767
CAN,1966,179810
CAN,1967,210808
CAN,1968,182709
CAN,1969,200367
CAN,1970,230104
CAN,1971,241415
CAN,1972,258374
CAN,1973,266173
CAN,1974,303562
CAN,1975,332388
CAN,1976,339965
CAN,1977,394744
CAN,1978,438287
CAN,1979,460984
CAN,1980,542506
CAN,1981,541087
CAN,1982,517422
CAN,1983,560399
CAN,1984,613404
CAN,1985,560073
CAN,1986,536443
CAN,1987,612575
CAN,1988,613167
CAN,1989,670303
CAN,1990,655144
CAN,1991,758086
CAN,1992,723393
CAN,1993,813179
CAN,1994,705181
CAN,1995,779393
CAN,1996,799981
CAN,1997,908407
CAN,1998,940411
CAN,1999,1029103
CAN,2000,1160421
CAN,2001,1217082
CAN,2002,1397963
CAN,2003,1519224
CAN,2004,1417487
CAN,2005,1600129
CAN,2006,1631188
CAN,2007,1737388
CAN,2008,1960890
CAN,2009,2086524
CAN,2010,2661136
CAN,2011,2759050
CAN,2012,4601099
CAN,2013,5626825
CAN,2014,7334645
CAN,2015,7752375
CAN,2016,8497563
CAN,2017,9782917
CAN,2018,11216953
CAN,2019,13018114
CAN,2020,17192443
CAN,2021,20244281
CAN,2022,22848692
CAN,2023,21267132
CAN,2024,22536675
CAN,2025,2464921
CHE,1960,43544
CHE,1961,42147
CHE,1962,37719
CHE,1963,40166
CHE,1964,48164
CHE,1965,47830
CHE,1966,40959
CHE,1967,46940
CHE,1968,52316
CHE,1969,55496
CHE,1970,352638
CHE,1971,65927
CHE,1972,59366
CHE,1973,58797
CHE,1974,65964
CHE,1975,76057
CHE,1976,106530
CHE,1977,127722
CHE,1978,128235
CHE,1979,185152
CHE,1980,216498
CHE,1981,181052
CHE,1982,172409
CHE,1983,204813
CHE,1984,218296
CHE,1985,168584
CHE,1986,171247
CHE,1987,186662
CHE,1988,224568
CHE,1989,280201
CHE,1990,242558
CHE,1991,286116
CHE,1992,261638
CHE,1993,286229
CHE,1994,312461
CHE,1995,315256
CHE,1996,385299
CHE,1997,475286
CHE,1998,437617
CHE,1999,532795
CHE,2000,598019
CHE,2001,691376
CHE,2002,567439
CHE,2003,680648
CHE,2004,675593
CHE,2005,599523
CHE,2006,613362
CHE,2007,500232
CHE,2008,566058
CHE,2009,666510
CHE,2010,734834
CHE,2011,749017
CHE,2012,894605
CHE,2013,953375
CHE,2014,1158056
CHE,2015,1394854
CHE,2016,1507445
CHE,2017,1480486
CHE,2018,1873931
CHE,2019,1991137
CHE,2020,2203840
CHE,2021,2285167
CHE,2022,2568272
CHE,2023,2531903
CHE,2024,2519193
CHE,2025,1500371
CHL,1960,3788
CHL,1961,5801
CHL,1962,7503
CHL,1963,4475
CHL,1964,4849
CHL,1965,13504
CHL,1966,10080
CHL,1967,7409
CHL,1968,9342
CHL,1969,11407
CHL,1970,9529
CHL,1971,8323
CHL,1972,8408
CHL,1973,3651
CHL,1974,3759
CHL,1975,6857
CHL,1976,11831
CHL,1977,6700
CHL,1978,6276
CHL,1979,5978
CHL,1980,7166
CHL,1981,7552
CHL,1982,9199
CHL,1983,5748
CHL,1984,6009
CHL,1985,13102
CHL,1986,12020
CHL,1987,7090
CHL,1988,7577
CHL,1989,8554
CHL,1990,8645
CHL,1991,15571
CHL,1992,7918
CHL,1993,6779
CHL,1994,8561
CHL,1995,16030
CHL,1996,11145
CHL,1997,29396
CHL,1998,15353
CHL,1999,97041
CHL,2000,79208
CHL,2001,119378
CHL,2002,120816
CHL,2003,96506
CHL,2004,232466
CHL,2005,621160
CHL,2006,409118
CHL,2007,291906
CHL,2008,322321
CHL,2009,300435
CHL,2010,808669
CHL,2011,996603
CHL,2012,1068347
CHL,2013,868538
CHL,2014,828617
CHL,2015,789022
CHL,2016,920302
CHL,2017,1058480
CHL,2018,1211676
CHL,2019,1432770
CHL,2020,1237736
CHL,2021,1698169
CHL,2022,1993300
CHL,2023,1645495
CHL,2024,1653639
CHL,2025,118340
CHN,1960,111040
CHN,1961,29309
CHN,1962,44846
CHN,1963,103843
CHN,1964,125306
CHN,1965,79708
CHN,1966,13829
CHN,1967,6684
CHN,1968,4062
CHN,1969,5483
CHN,1970,18757
CHN,1971,19535
CHN,1972,40375
CHN,1973,71064
CHN,1974,76704
CHN,1975,68334
CHN,1976,86635
CHN,1977,48896
CHN,1978,99889
CHN,1979,19951
CHN,1980,41462
CHN,1981,57097
CHN,1982,45666
CHN,1983,48968
CHN,1984,44316
CHN,1985,22308
CHN,1986,48401
CHN,1987,39722
CHN,1988,41022
CHN,1989,29072
CHN,1990,26272
CHN,1991,25689
CHN,1992,26699
CHN,1993,32173
CHN,1994,34520
CHN,1995,29292
CHN,1996,45362
CHN,1997,36444
CHN,1998,37530
CHN,1999,20608
CHN,2000,27568
CHN,2001,31229
CHN,2002,50144
CHN,2003,45605
CHN,2004,68782
CHN,2005,80747
CHN,2006,74686
CHN,2007,60909
CHN,2008,49292
CHN,2009,67342
CHN,2010,91570
CHN,2011,96164
CHN,2012,186880
CHN,2013,364123
CHN,2014,353400
CHN,2015,459056
CHN,2016,720137
CHN,2017,444049
CHN,2018,1027843
CHN,2019,500752
CHN,2020,385805
CHN,2021,522835
CHN,2022,553431
CHN,2023,902533
CHN,2024,1280425
CHN,2025,259060
CIV,1960,5890
CIV,1961,3973
CIV,1962,11895
CIV,1963,31467
CIV,1964,17123
CIV,1965,6148
CIV,1966,6996
CIV,1967,9411
CIV,1968,13712
CIV,1969,16842
CIV,1970,9346
CIV,1971,3900
CIV,1972,6587
CIV,1973,11792
CIV,1974,10776
CIV,1975,19624
CIV,1976,6076
CIV,1977,3438
CIV,1978,3034
CIV,1979,7775
CIV,1980,7496
CIV,1981,7275
CIV,1982,1632
CIV,1983,1160
CIV,1984,2361
CIV,1985,2662
CIV,1986,3653
CIV,1987,6987
CIV,1988,4142
CIV,1989,4241
CIV,1990,28345
CIV,1991,7777
CIV,1992,2152
CIV,1993,4021
CIV,1994,4772
CIV,1995,6622
CIV,1996,2749
CIV,1997,7936
CIV,1998,3235
CIV,1999,1736
CIV,2000,3332
CIV,2001,2067
CIV,2002,3590
CIV,2003,420
CIV,2004,1272
CIV,2005,854
CIV,2006,740
CIV,2007,1159
CIV,2008,1878
CIV,2009,1180
CIV,2010,5806
CIV,2011,1686
CIV,2012,2788
CIV,2013,4015
CIV,2014,20757
CIV,2015,12635
CIV,2016,71135
CIV,2017,36688
CIV,2018,19086
CIV,2019,12600
CIV,2020,4878
CIV,2021,9760
CIV,2022,3930
CIV,2023,8876
CIV,2024,211730
CIV,2025,82766
CMR,1960,7379
CMR,1961,11744
CMR,1962,9399
CMR,1963,19156
CMR,1964,26783
CMR,1965,22514
CMR,1966,10043
CMR,1967,7021
CMR,1968,8144
CMR,1969,19437
CMR,1970,16603
CMR,1971,15035
CMR,1972,22777
CMR,1973,7051
CMR,1974,15856
CMR,1975,17851
CMR,1976,6496
CMR,1977,5111
CMR,1978,5513
CMR,1979,4869
CMR,1980,2655
CMR,1981,6919
CMR,1982,5320
CMR,1983,7090
CMR,1984,8486
CMR,1985,8363
CMR,1986,16453
CMR,1987,10011
CMR,1988,6571
CMR,1989,3587
CMR,1990,33675
CMR,1991,3346
CMR,1992,5169
CMR,1993,8225
CMR,1994,11665
CMR,1995,12919
CMR,1996,18781
CMR,1997,9131
CMR,1998,15270
CMR,1999,5881
CMR,2000,11532
CMR,2001,8314
CMR,2002,8312
CMR,2003,6644
CMR,2004,9596
CMR,2005,13239
CMR,2006,10967
CMR,2007,12433
CMR,2008,16246
CMR,2009,15096
CMR,2010,4189
CMR,2011,15641
CMR,2012,28187
CMR,2013,14427
CMR,2014,14479
CMR,2015,56118
CMR,2016,25796
CMR,2017,21158
CMR,2018,14926
CMR,2019,12191
CMR,2020,21059
CMR,2021,10211
CMR,2022,11916
CMR,2023,13318
CMR,2024,8067
CMR,2025,5016
COD,1960,11837
COD,1961,5287
COD,1962,4245
COD,1963,7784
COD,1964,4618
COD,1965,3454
COD,1966,5800
COD,1967,4240
COD,1968,4331
COD,1969,14276
COD,1970,14526
COD,1971,20528
COD,1972,9450
COD,1973,11375
COD,1974,5101
COD,1975,6235
COD,1976,8123
COD,1977,7490
COD,1978,9176
COD,1979,6316
COD,1980,3911
COD,1981,6949
COD,1982,7140
COD,1983,5555
COD,1984,17554
COD,1985,8252
COD,1986,10811
COD,1987,7582
COD,1988,5841
COD,1989,2767
COD,1990,5858
COD,1991,4149
COD,1992,3963
COD,1993,4631
COD,1994,5625
COD,1995,4172
COD,1996,1692
COD,1997,705
COD,1998,895
COD,1999,351
COD,2000,1608
COD,2001,3075
COD,2002,1390
COD,2003,1789
COD,2004,4782
COD,2005,2730
COD,2006,6577
COD,2007,13256
COD,2008,9201
COD,2009,6318
COD,2010,15800
COD,2011,5581
COD,2012,23458
COD,2013,10533
COD,2014,19532
COD,2015,11130
COD,2016,9127
COD,2017,8838
COD,2018,31659
COD,2019,5487
COD,2020,6078
COD,2021,24759
COD,2022,42330
COD,2023,16903
COD,2024,41098
COD,2025,1124
COG,1960,899
COG,1961,753
COG,1962,1289
COG,1963,8837
COG,1964,4096
COG,1965,1555
COG,1966,1025
COG,1967,512
COG,1968,591
COG,1969,485
COG,1970,498
COG,1971,460
COG,1972,458
COG,1973,352
COG,1974,224
COG,1975,282
COG,1976,348
COG,1977,1103
COG,1978,644
COG,1979,144
COG,1980,300
COG,1981,378
COG,1982,407
COG,1983,1101
COG,1984,399
COG,1985,685
COG,1986,256
COG,1987,444
COG,1988,453
COG,1989,1386
COG,1990,1895
COG,1991,2125
COG,1992,377
COG,1993,579
COG,1994,1528
COG,1995,1482
COG,1996,1129
COG,1997,2477
COG,1998,695
COG,1999,364
COG,2000,304
COG,2001,117
COG,2002,1577
COG,2003,460
COG,2004,5090
COG,2005,7391
COG,2006,8225
COG,2007,9135
COG,2008,5049
COG,2009,2518
COG,2010,3142
COG,2011,2268
COG,2012,1265
COG,2013,3038
COG,2014,1718
COG,2015,1785
COG,2016,2218
COG,2017,2921
COG,2018,2354
COG,2019,3361
COG,2020,3348
COG,2021,2145
COG,2022,5634
COG,2023,11377
COG,2024,10094
COG,2025,1335
COL,1960,7169
COL,1961,11791
COL,1962,10505
COL,1963,13399
COL,1964,12145
COL,1965,21749
COL,1966,20894
COL,1967,29656
COL,1968,23917
COL,1969,24880
COL,1970,20670
COL,1971,26382
COL,1972,46393
COL,1973,31294
COL,1974,25387
COL,1975,28065
COL,1976,38390
COL,1977,29899
COL,1978,16653
COL,1979,37779
COL,1980,37521
COL,1981,28252
COL,1982,24937
COL,1983,41379
COL,1984,41678
COL,1985,42442
COL,1986,62983
COL,1987,72894
COL,1988,64578
COL,1989,72799
COL,1990,62561
COL,1991,53046
COL,1992,55479
COL,1993,48476
COL,1994,43818
COL,1995,61857
COL,1996,69647
COL,1997,207280
COL,1998,84989
COL,1999,89200
COL,2000,205607
COL,2001,168686
COL,2002,194299
COL,2003,345373
COL,2004,264788
COL,2005,221973
COL,2006,205058
COL,2007,193725
COL,2008,189356
COL,2009,297797
COL,2010,286408
COL,2011,322575
COL,2012,471614
COL,2013,543569
COL,2014,791407
COL,2015,931786
COL,2016,1168212
COL,2017,1685022
COL,2018,3221726
COL,2019,3958845
COL,2020,2766409
COL,2021,3809111
COL,2022,4423970
COL,2023,5057552
COL,2024,5364556
COL,2025,326908
COM,1960,13
COM,1961,84
COM,1962,15
COM,1963,550
COM,1964,1536
COM,1965,14
COM,1966,16
COM,1967,455
COM,1968,226
COM,1969,19
COM,1970,227
COM,1971,43
COM,1972,364
COM,1973,159
COM,1974,182
COM,1975,2507
COM,1976,28
COM,1977,109
COM,1978,1
COM,1979,171
COM,1980,445
COM,1981,1711
COM,1982,17
COM,1983,1279
COM,1984,203
COM,1985,471
COM,1986,992
COM,1987,322
COM,1988,3062
COM,1989,195
COM,1990,376
COM,1991,528
COM,1992,1189
COM,1993,485
COM,1994,45
COM,1995,291
COM,1996,584
COM,1997,196
COM,1998,357
COM,1999,1118
COM,2000,513
COM,2001,352
COM,2002,432
COM,2003,645
COM,2004,378
COM,2005,369
COM,2006,856
COM,2007,205
COM,2008,2731
COM,2009,4658
COM,2010,469
COM,2011,872
COM,2012,419
COM,2013,43
COM,2014,443
COM,2015,196
COM,2016,912
COM,2017,1095
COM,2018,152
COM,2019,305
COM,2020,430
COM,2021,741
COM,2022,2187
COM,2023,357
COM,2024,1544
COM,2025,145
CPV,1960,13
CPV,1961,169
CPV,1962,21
CPV,1963,100
CPV,1964,884
CPV,1965,200
CPV,1966,376
CPV,1967,327
CPV,1968,1888
CPV,1969,3246
CPV,1970,4238
CPV,1971,914
CPV,1972,1463
CPV,1973,1104
CPV,1974,124
CPV,1975,968
CPV,1976,748
CPV,1977,39
CPV,1978,226
CPV,1979,739
CPV,1980,852
CPV,1981,371
CPV,1982,7900
CPV,1983,567
CPV,1984,261
CPV,1985,489
CPV,1986,7582
CPV,1987,1100
CPV,1988,730
CPV,1989,194
CPV,1990,602
CPV,1991,296
CPV,1992,1370
CPV,1993,686
CPV,1994,3259
CPV,1995,1637
CPV,1996,290
CPV,1997,312
CPV,1998,189
CPV,1999,307
CPV,2000,138
CPV,2001,156
CPV,2002,390
CPV,2003,1283
CPV,2004,255
CPV,2005,829
CPV,2006,6091
CPV,2007,968
CPV,2008,623
CPV,2009,1098
CPV,2010,13195
CPV,2011,13353
CPV,2012,11727
CPV,2013,2577
CPV,2014,13058
CPV,2015,3075
CPV,2016,6969
CPV,2017,10742
CPV,2018,6480
CPV,2019,6458
CPV,2020,1881
CPV,2021,1598
CPV,2022,9844
CPV,2023,12902
CPV,2024,10193
CPV,2025,3590
CRI,1960,2897
CRI,1961,9759
CRI,1962,10961
CRI,1963,16349
CRI,1964,20275
CRI,1965,18977
CRI,1966,18714
CRI,1967,24373
CRI,1968,14100
CRI,1969,10163
CRI,1970,8340
CRI,1971,23985
CRI,1972,17703
CRI,1973,24053
CRI,1974,14742
CRI,1975,11103
CRI,1976,14493
CRI,1977,16506
CRI,1978,22178
CRI,1979,32851
CRI,1980,31607
CRI,1981,27843
CRI,1982,36443
CRI,1983,51342
CRI,1984,47410
CRI,1985,51481
CRI,1986,79806
CRI,1987,77303
CRI,1988,140477
CRI,1989,229928
CRI,1990,294802
CRI,1991,385270
CRI,1992,516101
CRI,1993,505082
CRI,1994,396004
CRI,1995,305156
CRI,1996,195431
CRI,1997,171777
CRI,1998,129072
CRI,1999,168236
CRI,2000,208095
CRI,2001,218376
CRI,2002,186818
CRI,2003,277044
CRI,2004,240482
CRI,2005,215617
CRI,2006,184474
CRI,2007,235528
CRI,2008,307476
CRI,2009,298174
CRI,2010,324314
CRI,2011,269809
CRI,2012,362252
CRI,2013,465098
CRI,2014,728527
CRI,2015,877632
CRI,2016,1116465
CRI,2017,1615856
CRI,2018,1874547
CRI,2019,3852299
CRI,2020,3634688
CRI,2021,3236768
CRI,2022,4061175
CRI,2023,4710973
CRI,2024,4919000
CRI,2025,189197
CUB,1960,981
CUB,1961,512
CUB,1962,286
CUB,1963,198
CUB,1964,751
CUB,1965,1894
CUB,1966,2034
CUB,1967,2508
CUB,1968,1352
CUB,1969,1566
CUB,1970,1489
CUB,1971,819
CUB,1972,1051
CUB,1973,716
CUB,1974,673
CUB,1975,1300
CUB,1976,525
CUB,1977,561
CUB,1978,1279
CUB,1979,1003
CUB,1980,3194
CUB,1981,12296
CUB,1982,3767
CUB,1983,2392
CUB,1984,1726
CUB,1985,3199
CUB,1986,1731
CUB,1987,2652
CUB,1988,4211
CUB,1989,4169
CUB,1990,3172
CUB,1991,1754
CUB,1992,3704
CUB,1993,3817
CUB,1994,4722
CUB,1995,4578
CUB,1996,2933
CUB,1997,3771
CUB,1998,4841
CUB,1999,8580
CUB,2000,8476
CUB,2001,17826
CUB,2002,10989
CUB,2003,7626
CUB,2004,10949
CUB,2005,4379
CUB,2006,12007
CUB,2007,10051
CUB,2008,12459
CUB,2009,11478
CUB,2010,22780
CUB,2011,21556
CUB,2012,44838
CUB,2013,40073
CUB,2014,48300
CUB,2015,67834
CUB,2016,110027
CUB,2017,240745
CUB,2018,176180
CUB,2019,164491
CUB,2020,88878
CUB,2021,63956
CUB,2022,139866
CUB,2023,261265
CUB,2024,287436
CUB,2025,6279
CYP,1960,220
CYP,1961,313
CYP,1962,1170
CYP,1963,374
CYP,1964,149
CYP,1965,137
CYP,1966,169
CYP,1967,886
CYP,1968,2244
CYP,1969,607
CYP,1970,355
CYP,1971,338
CYP,1972,2426
CYP,1973,514
CYP,1974,500
CYP,1975,965
CYP,1976,45
CYP,1977,182
CYP,1978,837
CYP,1979,675
CYP,1980,1157
CYP,1981,427
CYP,1982,608
CYP,1983,1210
CYP,1984,1086
CYP,1985,390
CYP,1986,1809
CYP,1987,1202
CYP,1988,1766
CYP,1989,644
CYP,1990,1718
CYP,1991,1993
CYP,1992,1154
CYP,1993,2207
CYP,1994,1480
CYP,1995,9376
CYP,1996,1843
CYP,1997,3510
CYP,1998,3055
CYP,1999,7121
CYP,2000,4686
CYP,2001,4992
CYP,2002,4885
CYP,2003,1839
CYP,2004,4179
CYP,2005,4970
CYP,2006,4069
CYP,2007,15139
CYP,2008,11237
CYP,2009,9947
CYP,2010,13335
CYP,2011,11445
CYP,2012,13764
CYP,2013,18732
CYP,2014,15635
CYP,2015,17574
CYP,2016,16399
CYP,2017,25098
CYP,2018,32839
CYP,2019,40874
CYP,2020,22253
CYP,2021,21055
CYP,2022,60887
CYP,2023,96731
CYP,2024,103108
CYP,2025,35478
CZE,1960,16492
CZE,1961,24905
CZE,1962,17833
CZE,1963,18773
CZE,1964,25076
CZE,1965,24639
CZE,1966,27969
CZE,1967,30925
CZE,1968,33325
CZE,1969,29587
CZE,1970,29017
CZE,1971,37930
CZE,1972,38598
CZE,1973,35066
CZE,1974,42753
CZE,1975,38102
CZE,1976,29104
CZE,1977,37056
CZE,1978,34549
CZE,1979,22036
CZE,1980,34258
CZE,1981,34232
CZE,1982,28538
CZE,1983,29574
CZE,1984,29242
CZE,1985,26892
CZE,1986,31657
CZE,1987,20602
CZE,1988,32492
CZE,1989,34765
CZE,1990,39402
CZE,1991,41930
CZE,1992,38203
CZE,1993,28973
CZE,1994,31992
CZE,1995,46668
CZE,1996,54188
CZE,1997,75930
CZE,1998,84100
CZE,1999,75946
CZE,2000,64379
CZE,2001,96568
CZE,2002,101752
CZE,2003,76463
CZE,2004,86709
CZE,2005,101375
CZE,2006,56665
CZE,2007,69466
CZE,2008,72686
CZE,2009,58930
CZE,2010,53226
CZE,2011,53418
CZE,2012,53577
CZE,2013,46828
CZE,2014,56085
CZE,2015,67148
CZE,2016,71258
CZE,2017,215931
CZE,2018,334612
CZE,2019,266197
CZE,2020,498687
CZE,2021,714082
CZE,2022,868406
CZE,2023,875353
CZE,2024,990722
CZE,2025,215070
DEU,1960,58672
DEU,1961,70404
DEU,1962,62534
DEU,1963,49556
DEU,1964,65458
DEU,1965,71447
DEU,1966,66022
DEU,1967,84520
DEU,1968,84968
DEU,1969,95047
DEU,1970,105682
DEU,1971,85870
DEU,1972,101400
DEU,1973,116288
DEU,1974,127932
DEU,1975,147027
DEU,1976,84595
DEU,1977,96926
DEU,1978,139945
DEU,1979,108754
DEU,1980,258170
DEU,1981,160603
DEU,1982,336294
DEU,1983,346690
DEU,1984,340509
DEU,1985,739171
DEU,1986,809599
DEU,1987,893358
DEU,1988,648924
DEU,1989,620665
DEU,1990,736180
DEU,1991,721739
DEU,1992,717716
DEU,1993,619156
DEU,1994,483841
DEU,1995,329560
DEU,1996,596847
DEU,1997,570253
DEU,1998,358357
DEU,1999,500035
DEU,2000,506206
DEU,2001,440772
DEU,2002,506573
DEU,2003,445477
DEU,2004,435040
DEU,2005,434256
DEU,2006,704597
DEU,2007,908409
DEU,2008,989651
DEU,2009,921117
DEU,2010,1116063
DEU,2011,1614306
DEU,2012,1620441
DEU,2013,1661353
DEU,2014,1871156
DEU,2015,1791284
DEU,2016,1826995
DEU,2017,2247778
DEU,2018,2477439
DEU,2019,2632148
DEU,2020,3582229
DEU,2021,4063808
DEU,2022,4537162
DEU,2023,4589187
DEU,2024,5492519
DEU,2025,5167777
DJI,1960,3
DJI,1961,3
DJI,1962,43
DJI,1963,4
DJI,1964,61
DJI,1965,4
DJI,1966,83
DJI,1967,14
DJI,1968,7
DJI,1969,2
DJI,1970,37
DJI,1971,7
DJI,1972,12
DJI,1973,18
DJI,1974,70
DJI,1975,33
DJI,1976,48
DJI,1977,80
DJI,1978,149
DJI,1979,4
DJI,1980,38
DJI,1981,47
DJI,1982,17
DJI,1983,11
DJI,1984,31
DJI,1985,34
DJI,1986,1471
DJI,1987,128
DJI,1988,6
DJI,1989,43
DJI,1990,47
DJI,1991,8
DJI,1992,27
DJI,1993,204
DJI,1994,96
DJI,1995,8
DJI,1996,25
DJI,1997,1013
DJI,1998,3
DJI,1999,140
DJI,2000,144
DJI,2001,72
DJI,2002,21
DJI,2004,3
DJI,2005,33
DJI,2006,241
DJI,2007,477
DJI,2008,48
DJI,2009,160
DJI,2010,81
DJI,2011,238
DJI,2012,1332
DJI,2013,227
DJI,2014,2650
DJI,2015,1612
DJI,2016,4684
DJI,2017,4638
DJI,2018,3716
DJI,2019,2868
DJI,2020,948
DJI,2021,3349
DJI,2022,1673
DJI,2023,947
DJI,2024,1886
DJI,2025,224
DNK,1960,19644
DNK,1961,23326
DNK,1962,35106
DNK,1963,42603
DNK,1964,57947
DNK,1965,54518
DNK,1966,70348
DNK,1967,67659
DNK,1968,85823
DNK,1969,80016
DNK,1970,83352
DNK,1971,74690
DNK,1972,77827
DNK,1973,99696
DNK,1974,105090
DNK,1975,101776
DNK,1976,119286
DNK,1977,117924
DNK,1978,121031
DNK,1979,102686
DNK,1980,141768
DNK,1981,146404
DNK,1982,158632
DNK,1983,152916
DNK,1984,168185
DNK,1985,183521
DNK,1986,203175
DNK,1987,238281
DNK,1988,267050
DNK,1989,291771
DNK,1990,303991
DNK,1991,331520
DNK,1992,393576
DNK,1993,491791
DNK,1994,473740
DNK,1995,484962
DNK,1996,401126
DNK,1997,453818
DNK,1998,414407
DNK,1999,432566
DNK,2000,487009
DNK,2001,494660
DNK,2002,541652
DNK,2003,636854
DNK,2004,980712
DNK,2005,1165182
DNK,2006,1396969
DNK,2007,1547662
DNK,2008,1807809
DNK,2009,2121419
DNK,2010,1949990
DNK,2011,2191416
DNK,2012,2047691
DNK,2013,2172549
DNK,2014,2529416
DNK,2015,2153389
DNK,2016,2288213
DNK,2017,2330649
DNK,2018,2489247
DNK,2019,2756263
DNK,2020,3788673
DNK,2021,3717617
DNK,2022,3196452
DNK,2023,3518247
DNK,2024,3425048
DNK,2025,3313562
DOM,1960,513
DOM,1961,331
DOM,1962,448
DOM,1963,7067
DOM,1964,3639
DOM,1965,1576
DOM,1966,651
DOM,1967,6013
DOM,1968,8681
DOM,1969,14029
DOM,1970,3042
DOM,1971,12618
DOM,1972,2262
DOM,1973,4079
DOM,1974,5883
DOM,1975,7602
DOM,1976,6098
DOM,1977,3325
DOM,1978,4158
DOM,1979,2771
DOM,1980,7707
DOM,1981,10650
DOM,1982,11251
DOM,1983,5079
DOM,1984,5931
DOM,1985,4697
DOM,1986,4680
DOM,1987,5183
DOM,1988,2866
DOM,1989,2720
DOM,1990,2376
DOM,1991,3552
DOM,1992,5098
DOM,1993,3016
DOM,1994,1116
DOM,1995,3083
DOM,1996,2892
DOM,1997,3345
DOM,1998,2752
DOM,1999,3587
DOM,2000,3068
DOM,2001,4716
DOM,2002,5451
DOM,2003,6161
DOM,2004,5842
DOM,2005,5313
DOM,2006,6743
DOM,2007,7867
DOM,2008,10686
DOM,2009,5855
DOM,2010,9428
DOM,2011,9155
DOM,2012,14506
DOM,2013,19465
DOM,2014,26565
DOM,2015,32352
DOM,2016,25665
DOM,2017,34258
DOM,2018,31113
DOM,2019,42553
DOM,2020,57460
DOM,2021,57755
DOM,2022,94500
DOM,2023,122180
DOM,2024,141228
DOM,2025,14860
DZA,1960,651
DZA,1961,214
DZA,1962,168
DZA,1963,290
DZA,1964,149
DZA,1965,612
DZA,1966,226
DZA,1967,144
DZA,1968,314
DZA,1969,339
DZA,1970,1889
DZA,1971,1434
DZA,1972,643
DZA,1973,1772
DZA,1974,1374
DZA,1975,3430
DZA,1976,1056
DZA,1977,622
DZA,1978,993
DZA,1979,2168
DZA,1980,1287
DZA,1981,484
DZA,1982,1570
DZA,1983,993
DZA,1984,2224
DZA,1985,3355
DZA,1986,1110
DZA,1987,594
DZA,1988,1639
DZA,1989,1095
DZA,1990,971
DZA,1991,1949
DZA,1992,403
DZA,1993,220
DZA,1994,169
DZA,1995,2410
DZA,1996,181
DZA,1997,118
DZA,1998,232
DZA,1999,344
DZA,2000,95
DZA,2001,88
DZA,2002,290
DZA,2003,440
DZA,2004,814
DZA,2005,1328
DZA,2006,583
DZA,2007,1028
DZA,2008,812
DZA,2009,8510
DZA,2010,722
DZA,2011,1365
DZA,2012,759
DZA,2013,1142
DZA,2014,3215
DZA,2015,10891
